Unnamed: 0,영업팀,영업그룹,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,,,,29.0,29.0,31.0,31.0,29.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,키친핏 4Door,7시리즈,,107.0,107.0,50.0,50.0,107.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,키친핏 4Door,7시리즈,AI 하이브리드,,,7.0,7.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,키친핏 SBS,7시리즈,,,,1.0,1.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,"키친핏 1Door 18""",,,29.0,29.0,5.0,5.0,29.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,4Door,7시리즈,AI 하이브리드,,,4.0,4.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,4Door,7시리즈,벤딩도어,56.0,56.0,60.0,60.0,56.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,TMF,,,100.0,100.0,50.0,50.0,100.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,BMF,,,,,3.0,3.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,수량,키친핏 1Door,,,78.0,78.0,171.0,171.0,78.0
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,,,,27293554.794999998,27293554.794999998,41036941.0,41036941.0,27293554.794999998
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,키친핏 4Door,7시리즈,,204555984.38700002,204555984.38700002,127820770.0,127820769.99999999,204555984.38700002
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,키친핏 4Door,7시리즈,AI 하이브리드,,,20510218.3,20510218.3,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,키친핏 SBS,7시리즈,,,,1575200.0,1575200.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,"키친핏 1Door 18""",,,26077584.854999997,26077584.854999997,5748043.399999999,5748043.399999999,26077584.854999997
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,4Door,,,,,264000.0,264000.0,
,이커머스,SOP,냉장고,26Y01M,26Y01WB,금액,4Door,7시리즈,AI 하이브리드,,,10187160.5,10187160.5,
