Unnamed: 0,영업팀,영업그룹,파트,대표거래선,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,가전,회산,냉장고,26Y05M,26Y21W,수량,4Door,7시리즈,벤딩도어,0.0,0.0,1.0,1.0,0.0
,이커머스,SOP,가전,회산,냉장고,26Y05M,26Y21W,금액,4Door,7시리즈,벤딩도어,0.0,0.0,2357769.7,2357769.7,0.0
,이커머스,SOP,가전,회산,냉장고,26Y05M,26Y22W,수량,4Door,7시리즈,벤딩도어,,,-1.0,-1.0,
,이커머스,SOP,가전,회산,냉장고,26Y05M,26Y22W,금액,4Door,7시리즈,벤딩도어,,,-2357769.7,-2357769.7,
,이커머스,SOP,가전,회산,냉장고,26Y06M,26Y26W,수량,4Door,7시리즈,벤딩도어,,,1.0,1.0,
,이커머스,SOP,가전,회산,냉장고,26Y06M,26Y26W,금액,4Door,7시리즈,벤딩도어,,,2008759.5,2008759.5,
,이커머스,SOP,가전,회산,냉장고,26Y06M,26Y27WA,수량,4Door,7시리즈,벤딩도어,,,1.0,1.0,
,이커머스,SOP,가전,회산,냉장고,26Y06M,26Y27WA,금액,4Door,7시리즈,벤딩도어,,,2008759.5,2008759.5,
,이커머스,SOP,가전,회산,냉장고,26Y07M,26Y31WA,수량,4Door,7시리즈,벤딩도어,1.0,1.0,1.0,1.0,1.0
,이커머스,SOP,가전,회산,냉장고,26Y07M,26Y31WA,금액,4Door,7시리즈,벤딩도어,1311606.002,1311606.002,2008759.5,2008759.5,1311606.002
,이커머스,SOP,가전,회산,냉장고,26Y08M,26Y33W,수량,4Door,7시리즈,벤딩도어,1.0,1.0,,,1.0
,이커머스,SOP,가전,회산,냉장고,26Y08M,26Y33W,금액,4Door,7시리즈,벤딩도어,1393384.61,1393384.61,,,1393384.61
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,,,,8.0,8.0,5.0,5.0,8.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,25kg,,,105.0,105.0,22.0,22.0,105.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,25kg,9시리즈,,5.0,5.0,4.0,4.0,5.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,25kg,8시리즈,,20.0,20.0,19.0,19.0,20.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,21-20kg,,,171.0,171.0,79.0,79.0,171.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,19-18kg,,,51.0,51.0,12.0,12.0,51.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,수량,15kg↓,,,10.0,10.0,3.0,3.0,10.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,,,,2640650.5239999997,2640650.5239999997,1912168.5,1912168.5,2640650.5239999997
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,25kg,,,105233475.592,105233475.592,27202661.2,27202661.2,105233475.592
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,25kg,9시리즈,,13661300.534,13661300.534,14048328.8,14048328.8,13661300.534
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,25kg,8시리즈,,44664368.025,44664368.025,52545964.9,52545964.9,44664368.025
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,21-20kg,,,110248382.237,110248382.237,88044319.0,88044319.0,110248382.23699999
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,19-18kg,,,27564636.773000002,27564636.773000002,8482048.3,8482048.3,27564636.773000002
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y01WB,금액,15kg↓,,,6580954.865,6580954.865,2292483.6,2292483.6,6580954.865
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,,,,16.0,16.0,14.0,14.0,16.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,25kg,,,109.0,109.0,200.0,200.0,109.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,25kg,9시리즈,,9.0,9.0,12.0,12.0,9.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,25kg,8시리즈,,75.0,75.0,42.0,42.0,75.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,24kg,,,,,-1.0,-1.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,21-20kg,,,341.0,341.0,315.0,315.0,341.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,19-18kg,,,89.0,89.0,62.0,62.0,89.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,수량,15kg↓,,,,,11.0,11.0,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,,,,5284934.514,5284934.514,5359813.8,5359813.8,5284934.514
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,25kg,,,106465420.20400001,106465420.20400001,248321627.39999998,248321627.40000007,106465420.204
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,25kg,9시리즈,,24590340.962,24590340.962,42144986.4,42144986.400000006,24590340.962
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,25kg,8시리즈,,167491379.87299997,167491379.87299997,116154237.1,116154237.09999998,167491379.87299997
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,24kg,,,,,-1130055.3,-1130055.3,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,21-20kg,,,221989955.81699997,221989955.81699997,348588703.1,348588703.09999996,221989955.817
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,19-18kg,,,47625697.013000004,47625697.013000004,42952973.8,42952973.8,47625697.013000004
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y02W,금액,15kg↓,,,,,8405773.200000001,8405773.200000001,
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,,,,17.0,17.0,30.0,30.0,17.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,25kg,,,59.0,59.0,197.0,197.0,59.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,25kg,9시리즈,,10.0,10.0,4.0,4.0,10.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,25kg,8시리즈,,43.0,43.0,44.0,44.0,43.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,21-20kg,,,396.0,396.0,389.0,389.0,396.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,19-18kg,,,90.0,90.0,45.0,45.0,90.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,수량,15kg↓,,,46.0,46.0,28.0,28.0,46.0
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,,,,5615263.564,5615263.564,11484495.0,11484495.0,5615263.564
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,25kg,,,57463134.710999995,57463134.710999995,244777735.39999998,244777735.39999998,57463134.711
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,25kg,9시리즈,,27322601.069,27322601.069,14048328.8,14048328.8,27322601.069
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,25kg,8시리즈,,96028392.099,96028392.099,121685408.89999999,121685408.89999999,96028392.099
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,21-20kg,,,259156489.306,259156489.306,431175794.5,431175794.4999999,259156489.306
,이커머스,SOP,가전,회산,세탁기,26Y01M,26Y03W,금액,19-18kg,,,47343585.24600001,47343585.24600001,31138013.500000004,31138013.500000004,47343585.246
